SrNo,Municpalties,Municpalties Seat,State
2041,Santa Apolonia Teacalco,Santa Apolonia Teacalco,Tlaxcala
2042,Santa Catarina Ayometla,Santa Catarina Ayometla,Tlaxcala
2043,Santa Cruz Quilehtla,Santa Cruz Quilehtla,Tlaxcala
2044,Santa Cruz Tlaxcala,Santa Cruz Tlaxcala,Tlaxcala
2045,Santa Isabel Xiloxoxtla,Santa Isabel Xiloxoxtla,Tlaxcala
2046,Tenancingo,Tenancingo,Tlaxcala
2047,Teolocholco,Teolocholco,Tlaxcala
2048,Tepetitla de Lardizabal,Tepetitla,Tlaxcala
2049,Tepeyanco,Tepeyanco,Tlaxcala
2050,Terrenate,San Nicolás Terrenate,Tlaxcala
2051,Tetla de la Solidaridad,Tetla,Tlaxcala
2052,Tetlatlahuca,Tetlatlahuca,Tlaxcala
2053,Tlaxcala,Tlaxcala,Tlaxcala
2054,Tlaxco,Tlaxco,Tlaxcala
2055,Tocatlán,Tocatlán,Tlaxcala
2056,Totolac,San Juan Totolac,Tlaxcala
2057,Tzompantepec,Tzompantepec,Tlaxcala
2058,Xaloztoc,Xaloztoc,Tlaxcala
2059,Xaltocan,Xaltocan,Tlaxcala
2060,Xicohtzinco,Xicohtzinco,Tlaxcala
2061,Yauhquemecan,Yauhquemehcan,Tlaxcala
2062,Zacatelco,Zacatelco,Tlaxcala
2063,Zitlaltepec de Trinidad Sánchez Santos,Zitlaltepec,Tlaxcala
2064,Acajete,Acajete,Veracruz
2065,Acatlán,Acatlán,Veracruz
2066,Acayucan,Acayucan,Veracruz
2067,Actopan,Actopan,Veracruz
2068,Acula,Acula,Veracruz
2069,Acultzingo,Acultzingo,Veracruz
2070,Agua Dulce,Agua Dulce,Veracruz
2071,Alpatláhuac,Alpatláhuac,Veracruz
2072,Alto Lucero de Gutiérrez Barrios,Alto Lucero,Veracruz
2073,Altotonga,Altotonga,Veracruz
2074,Alvarado,Alvarado,Veracruz
2075,Amatitlán,Amatitlan,Veracruz
2076,Amatlán de los Reyes,Amatlán de los Reyes,Veracruz
2077,Ángel R. Cabada,Ángel R. Cabada,Veracruz
2078,Apazapan,Apazapan,Veracruz
2079,Aquila,Aquila,Veracruz
2080,Astacinga,Astacinga,Veracruz
2081,Atlahuilco,Atlahuilco,Veracruz
2082,Atoyac,Atoyac,Veracruz
2083,Atzacan,Atzacan,Veracruz
2084,Atzalán,Atzalán,Veracruz
2085,Ayahualulco,Ayahualulco,Veracruz
2086,Banderilla,Banderilla,Veracruz
2087,Benito Juárez,Benito Juárez,Veracruz
2088,Boca del Río,Boca del Río,Veracruz
2089,Calcahualco,Calcahualco,Veracruz
2090,Camarón de Tejeda,Camarón de Tejeda,Veracruz
2091,Camerino Z. Mendoza,Ciudad Mendoza,Veracruz
2092,Carlos A. Carrillo,Carlos A. Carrillo,Veracruz
2093,Carrillo Puerto,Tamarindo,Veracruz
2094,Castillo de Teayo,Castillo de Teayo,Veracruz
2095,Catemaco,Catemaco,Veracruz
2096,Cazones,Cazones de Herrera,Veracruz
2097,Cerro Azul,Cerro Azul,Veracruz
2098,Chacaltianguis,Chacaltianguis,Veracruz
2099,Chalma,Chalma,Veracruz
2100,Chiconamel,Chiconamel,Veracruz
2101,Chiconquiaco,Chiconquiaco,Veracruz
2102,Chicontepec,Chicontepec de Tejeda,Veracruz
2103,Chinameca,Chinameca,Veracruz
2104,Chinampa de Gorostiza,Chinampa de Gorostiza,Veracruz
2105,Chocamán,Chocamán,Veracruz
2106,Chontla,Chontla,Veracruz
2107,Chumatlan,Chumatlan,Veracruz
2108,Citlaltepetl,Citlaltepec,Veracruz
2109,Coacoatzintla,Coacoatzintla,Veracruz
2110,Coahuitlan,Progreso de Zaragoza,Veracruz
2111,Coatepec,Coatepec,Veracruz
2112,Coatzacoalcos,Coatzacoalcos,Veracruz
2113,Coatzintla,Coatzintla,Veracruz
2114,Coetzala,Coetzala,Veracruz
2115,Colipa,Colipa,Veracruz
2116,Comapa,Comapa,Veracruz
2117,Córdoba,Córdoba,Veracruz
2118,Cosamaloapan de Carpio,Cosamaloapan,Veracruz
2119,Cosautlán de Carvajal,Cosautlán de Carvajal,Veracruz
2120,Coscomatepec,Coscomatepec de Bravo,Veracruz
2121,Cosoleacaque,Cosoleacaque,Veracruz
2122,Cotaxtla,Cotaxtla,Veracruz
2123,Coxquihui,Coxquihui,Veracruz
2124,Coyutla,Coyutla,Veracruz
2125,Cuichapa,Cuichapa,Veracruz
2126,Cuitláhuac,Cuitláhuac,Veracruz
2127,El Higo,El Higo,Veracruz
2128,Emiliano Zapata,Dos Ríos,Veracruz
2129,Espinal,Espinal,Veracruz
2130,Filomeno Mata,Filomeno Mata,Veracruz
2131,Fortín,Fortín de Las Flores,Veracruz
2132,Gutiérrez Zamora,Gutiérrez Zamora,Veracruz
2133,Hidalgotitlán,Hidalgotitlán,Veracruz
2134,Huatusco,Huatusco,Veracruz
2135,Huayacocotla,Huayacocotla,Veracruz
2136,Hueyapan de Ocampo,Hueyapan de Ocampo,Veracruz
2137,Huiloapan,Huiloapan de Cuauhtémoc,Veracruz
2138,Ignacio de la Llave,Ignacio de la Llave,Veracruz
2139,Ilamatlán,Ilamatlán,Veracruz
2140,Isla,Isla,Veracruz
2141,Ixcatepec,Ixcatepec,Veracruz
2142,Ixhuacán de los Reyes,Ixhuacán de los Reyes,Veracruz
2143,Ixhuatlancillo,Ixhuatlancillo,Veracruz
2144,Ixhuatlán del Café,Ixhuatlán del Café,Veracruz
2145,Ixhuatlán del Sureste,Ixhuatlán del Sureste,Veracruz
2146,Ixhuatlán de Madero,Ixhuatlán de Madero,Veracruz
2147,Ixmatlahuacan,Ixmatlahuacan,Veracruz
2148,Ixtaczoquitlán,Ixtaczoquitlán,Veracruz
2149,Jalacingo,Jalacingo,Veracruz
2150,Jalcomulco,Jalcomulco,Veracruz
2151,Jaltipan,Jaltipan de Morelos,Veracruz
2152,Jamapa,Jamapa,Veracruz
2153,Jesús Carranza,Jesús Carranza,Veracruz
2154,Jilotepec,Jilotepec,Veracruz
2155,José Azueta,Villa Azueta,Veracruz
2156,Juan Rodríguez Clara,Juan Rodríguez Clara,Veracruz
2157,Juchique de Ferrer,Juchique de Ferrer,Veracruz
2158,Landero y Coss,Landero y Coss,Veracruz
2159,La Antigua,José Cardel,Veracruz
2160,La Perla,La Perla,Veracruz
2161,Las Choapas,Las Choapas,Veracruz
2162,Las Minas,Las Minas,Veracruz
2163,Las Vigas de Ramírez,Las Vigas de Ramírez,Veracruz
2164,Lerdo de Tejada,Lerdo de Tejada,Veracruz
2165,Los Reyes,Los Reyes,Veracruz
2166,Magdalena,Magdalena,Veracruz
2167,Maltrata,Maltrata,Veracruz
2168,Manlio Fabio Altamirano,Manlio Fabio Altamirano,Veracruz
2169,Mariano Escobedo,Mariano Escobedo,Veracruz
2170,Martínez de la Torre,Martínez de la Torre,Veracruz
2171,Mecatlán,Mecatlán,Veracruz
2172,Mecayapan,Mecayapan,Veracruz
2173,Medellín,Medellín,Veracruz
2174,Miahuatlán,Miahuatlán,Veracruz
2175,Minatitlán,Minatitlán,Veracruz
2176,Misantla,Misantla,Veracruz
2177,Mixtla de Altamirano,Mixtla de Altamirano,Veracruz
2178,Moloacán,Moloacán,Veracruz
2179,Nanchital,Nanchital,Veracruz
2180,Naolinco,Naolinco de Victoria,Veracruz
2181,Naranjal,Naranjal,Veracruz
2182,Naranjos Amatlán,Naranjos,Veracruz
2183,Nautla,Nautla,Veracruz
2184,Nogales,Nogales,Veracruz
2185,Oluta,Oluta,Veracruz
2186,Omealca,Omealca,Veracruz
2187,Orizaba,Orizaba,Veracruz
2188,Otatitlán,Otatitlán,Veracruz
2189,Oteapan,Oteapan,Veracruz
2190,Ozuluama de Mascareñas,Ozuluama (de Mascareñas),Veracruz
2191,Pajapan,Pajapan,Veracruz
2192,Pánuco,Pánuco,Veracruz
2193,Papantla,Papantla (de Olarte),Veracruz
2194,Paso de Ovejas,Paso de Ovejas,Veracruz
2195,Paso del Macho,Paso del Macho,Veracruz
2196,Perote,Perote,Veracruz
2197,Platón Sánchez,Platón Sánchez,Veracruz
2198,Playa Vicente,Playa Vicente,Veracruz
2199,Poza Rica de Hidalgo,Poza Rica (de Hidalgo),Veracruz
2200,Pueblo Viejo,Ciudad Cuauhtémoc,Veracruz
2201,Puente Nacional,Puente Nacional,Veracruz
2202,Rafael Delgado,Rafael Delgado,Veracruz
2203,Rafael Lucio,Rafael Lucio,Veracruz
2204,Río Blanco,Río Blanco,Veracruz
2205,Saltabarranca,Saltabarranca,Veracruz
2206,San Andrés Tenejapan,San Andrés Tenejapan,Veracruz
2207,San Andrés Tuxtla,San Andrés Tuxtla,Veracruz
2208,San Juan Evangelista,San Juan Evangelista,Veracruz
2209,Santiago Tuxtla,Santiago Tuxtla,Veracruz
2210,Sayula de Alemán,Sayula de Alemán,Veracruz
2211,Sochiapa,Sochiapa,Veracruz
2212,Soconusco,Soconusco,Veracruz
2213,Soledad Atzompa,Soledad Atzompa,Veracruz
2214,Soledad de Doblado,Soledad de Doblado,Veracruz
2215,Soteapan,Soteapan,Veracruz
2216,Tamalín,Tamalín,Veracruz
2217,Tamiahua,Tamiahua,Veracruz
2218,Tampico Alto,Tampico Alto,Veracruz
2219,Tancoco,Tancoco,Veracruz
2220,Tantima,Tantima,Veracruz
2221,Tantoyuca,Tantoyuca,Veracruz
2222,Tatahuicapan de Juárez,Tatahuicapan,Veracruz
2223,Tatatila,Tatatila,Veracruz
2224,Tecolutla,Tecolutla,Veracruz
2225,Tehuipango,Tehuipango,Veracruz
2226,Temapache,Alamo,Veracruz
2227,Tempoal,Tempoal de Sánchez,Veracruz
2228,Tenampa,Tenampa,Veracruz
2229,Tenochtitlán,Tenochtitlán,Veracruz
2230,Teocelo,Teocelo,Veracruz
2231,Tepatlaxco,Tepatlaxco,Veracruz
2232,Tepetlán,Tepetlán,Veracruz
2233,Tepetzintla,Tepetzintla,Veracruz
2234,Tequila,Tequila,Veracruz
2235,Texcatepec,Texcatepec,Veracruz
2236,Texhuacán,Texhuacán,Veracruz
2237,Texistepec,Texistepec,Veracruz
2238,Tezonapa,Tezonapa,Veracruz
2239,Tierra Blanca,Tierra Blanca,Veracruz
2240,Tihuatlán,Tihuatlán,Veracruz
2241,Tlachichilco,Tlachichilco,Veracruz
2242,Tlacojalpan,Tlacojalpan,Veracruz
2243,Tlacolulan,Tlacolulan,Veracruz
2244,Tlacotalpan,Tlacotalpan,Veracruz
2245,Tlacotepec de Mejía,Tlacotepec de Mejía,Veracruz
2246,Tlalixcoyan,Tlalixcoyan,Veracruz
2247,Tlalnelhuayocan,Tlalnelhuayocan,Veracruz
2248,Tlaltetela,Tlaltetela,Veracruz
2249,Tlapacoyan,Tlapacoyan,Veracruz
2250,Tlaquilpa,Tlaquilpa,Veracruz
2251,Tlilapan,Tlilapan,Veracruz
2252,Tomatlán,Tomatlán,Veracruz
2253,Tonayan,Tonayan,Veracruz
2254,Totutla,Totutla,Veracruz
2255,Tres Valles,Tres Valles,Veracruz
2256,Tuxpam,Tuxpam de Rodríguez Cano,Veracruz
2257,Tuxtilla,Tuxtilla,Veracruz
2258,Úrsulo Galván,Úrsulo Galván,Veracruz
2259,Uxpanapa,Poblado 10,Veracruz
2260,Vega de Alatorre,Vega de Alatorre,Veracruz
2261,Veracruz,Veracruz,Veracruz
2262,Villa Aldama,Villa Aldama,Veracruz
2263,Xalapa,Xalapa,Veracruz
2264,Xico,Xico,Veracruz
2265,Xoxocotla,Xoxocotla,Veracruz
2266,Yanga,Yanga,Veracruz
2267,Yecuatla,Yecuatla,Veracruz
2268,Zacualpan,Zacualpan,Veracruz
2269,Zaragoza,Zaragoza,Veracruz
2270,Zentla,Zentla,Veracruz
2271,Zongolica,Zongolica,Veracruz
2272,Zontecomatlán de López y Fuentes,Zontecomatlán de López y Fuentes,Veracruz
2273,Zozocolco de Hidalgo,Zozocolco de Hidalgo,Veracruz
2274,San Rafael,San Rafael,Veracruz
2275,Santiago Sochiapan,Xochiapan,Veracruz
2276,Abalá,Abalá,Yucatán
2277,Acanceh,Acanceh,Yucatán
2278,Akil,Akil,Yucatán
2279,Baca,Baca,Yucatán
2280,Bokobá,Bokobá,Yucatán
2281,Buctzotz,Buctzotz,Yucatán
2282,Cacalchén,Cacalchén,Yucatán
2283,Calotmul,Calotmul,Yucatán
2284,Cansahcab,Cansahcab,Yucatán
2285,Cantamayec,Cantamayec,Yucatán
2286,Celestún,Celestún,Yucatán
2287,Cenotillo,Cenotillo,Yucatán
2288,Conkal,Conkal,Yucatán
2289,Cuncunul,Cuncunul,Yucatán
2290,Cuzamá,Cuzamá,Yucatán
2291,Chacsinkín,Chacsinkín,Yucatán
2292,Chankom,Chankom,Yucatán
2293,Chapab,Chapab,Yucatán
2294,Chemax,Chemax,Yucatán
2295,Chicxulub Pueblo,Chicxulub,Yucatán
2296,Chichimilá,Chichimilá,Yucatán
2297,Chikindzonot,Chikindzonot,Yucatán
2298,Chocholá,Chocholá,Yucatán
2299,Chumayel,Chumayel,Yucatán
2300,Dzán,Dzán,Yucatán
2301,Dzemul,Dzemul,Yucatán
2302,Dzidzantún,Dzidzantún,Yucatán
2303,Dzilam de Bravo,Dzilam de Bravo,Yucatán
2304,Dzilam González,Dzilam González,Yucatán
2305,Dzitás,Dzitás,Yucatán
2306,Dzoncauich,Dzoncauich,Yucatán
2307,Espita,Espita,Yucatán
2308,Halachó,Halachó,Yucatán
2309,Hocabá,Hocabá,Yucatán
2310,Hoctún,Hoctún,Yucatán
2311,Homún,Homún,Yucatán
2312,Huhí,Huhí,Yucatán
2313,Hunucmá,Hunucmá,Yucatán
2314,Ixil,Ixil,Yucatán
2315,Izamal,Izamal,Yucatán
2316,Kanasín,Kanasín,Yucatán
2317,Kantunil,Kantunil,Yucatán
2318,Kaua,Kaua,Yucatán
2319,Kinchil,Kinchil,Yucatán
2320,Kopomá,Kopomá,Yucatán
2321,Mama,Mama,Yucatán
2322,Maní,Maní,Yucatán
2323,Maxcanú,Maxcanú,Yucatán
2324,Mayapán,Mayapán,Yucatán
2325,Mérida,Mérida,Yucatán
2326,Mocochá,Mocochá,Yucatán
2327,Motul,Motul de Carrillo Puerto,Yucatán
2328,Muna,Muna,Yucatán
2329,Muxupip,Muxupip,Yucatán
2330,Opichén,Opichén,Yucatán
2331,Oxkutzcab,Oxkutzcab,Yucatán
2332,Panabá,Panabá,Yucatán
2333,Peto,Peto,Yucatán
2334,Progreso,Progreso,Yucatán
2335,Quintana Roo,Quintana Roo,Yucatán
2336,Río Lagartos,Río Lagartos,Yucatán
2337,Sacalum,Sacalum,Yucatán
2338,Samahil,Samahil,Yucatán
2339,Sanahcat,Sanahcat,Yucatán
2340,San Felipe,San Felipe,Yucatán
2341,Santa Elena,Santa Elena,Yucatán
2342,Seyé,Seyé,Yucatán
2343,Sinanché,Sinanché,Yucatán
2344,Sotuta,Sotuta,Yucatán
2345,Sucilá,Sucilá,Yucatán
2346,Sudzal,Sudzal,Yucatán
2347,Suma de Hidalgo,Suma de Hidalgo,Yucatán
2348,Tahdziú,Tahdziú,Yucatán
2349,Tahmek,Tahmek,Yucatán
2350,Teabo,Teabo,Yucatán
2351,Tecoh,Tecoh,Yucatán
2352,Tekal de Venegas,Tekal de Venegas,Yucatán
2353,Tekantó,Tekantó,Yucatán
2354,Tekax,Tekax de Álvaro Obregón,Yucatán
2355,Tekit,Tekit,Yucatán
2356,Tekom,Tekom,Yucatán
2357,Telchac Pueblo,Telchac,Yucatán
2358,Telchac Puerto,Telchac Puerto,Yucatán
2359,Temax,Temax,Yucatán
2360,Temozón,Temozón,Yucatán
2361,Tepakán,Tepakán,Yucatán
2362,Tetiz,Tetiz,Yucatán
2363,Teya,Teya,Yucatán
2364,Ticul,Ticul,Yucatán
2365,Timucuy,Timucuy,Yucatán
2366,Tinúm,Tinúm,Yucatán
2367,Tixcacalcupul,Tixcacalcupul,Yucatán
2368,Tixkokob,Tixkokob,Yucatán
2369,Tixméhuac,Tixméhuac,Yucatán
2370,Tixpéhual,Tixpéhual,Yucatán
2371,Tizimín,Tizimín,Yucatán
2372,Tunkás,Tunkás,Yucatán
2373,Tzucacab,Tzucacab,Yucatán
2374,Uayma,Uayma,Yucatán
2375,Ucú,Ucú,Yucatán
2376,Umán,Umán,Yucatán
2377,Valladolid,Valladolid,Yucatán
2378,Xocchel,Xocchel,Yucatán
2379,Yaxcabá,Yaxcabá,Yucatán
2380,Yaxkukul,Yaxkukul,Yucatán
2381,Yobaín,Yobaín,Yucatán
2382,Apozol,Apozol,Zacatecas
2383,Apulco,Apulco,Zacatecas
2384,Atolinga,Atolinga,Zacatecas
2385,Florencia de Benito Juárez,Florencia de Benito Juárez,Zacatecas
2386,Calera de Víctor Rosales,Víctor Rosales,Zacatecas
2387,Cañitas de Felipe Pescador,Cañitas de Felipe Pescador,Zacatecas
2388,Concepción del Oro,Concepción del Oro,Zacatecas
2389,Cuauhtémoc,San Pedro Piedra Gorda,Zacatecas
2390,Chalchihuites,Chalchihuites,Zacatecas
2391,El Plateado de Joaquín Amaro,El Plateado de Joaquín Amaro,Zacatecas
2392,Trinidad García de la Cadena,Trinidad García de la Cadena,Zacatecas
2393,Fresnillo,Fresnillo,Zacatecas
2394,Genaro Codina,Genaro Codina,Zacatecas
2395,General Enrique Estrada,General Enrique Estrada,Zacatecas
2396,General Francisco R Murguía,Nieves,Zacatecas
2397,General Pánfilo Natera,General Pánfilo Natera,Zacatecas
2398,Guadalupe,Guadalupe,Zacatecas
2399,Huanusco,Huanusco,Zacatecas
2400,Jalpa,Jalpa,Zacatecas
2401,Jerez de García Salinas,Jerez,Zacatecas
2402,Jiménez del Teul,Jiménez del Teul,Zacatecas
2403,Juan Aldama,Juan Aldama,Zacatecas
2404,Juchipila,Juchipila,Zacatecas
2405,Loreto,Loreto,Zacatecas
2406,Luis Moya,Luis Moya,Zacatecas
2407,Mazapil,Mazapil,Zacatecas
2408,Melchor Ocampo,Melchor Ocampo,Zacatecas
2409,Mezquital del Oro,Mezquital del Oro,Zacatecas
2410,Miguel Auza,Miguel Auza,Zacatecas
2411,Momax,Momax,Zacatecas
2412,Monte Escobedo,Monte Escobedo,Zacatecas
2413,Morelos,Morelos,Zacatecas
2414,Moyahua de Estrada,Moyahua de Estrada,Zacatecas
2415,Nochistlán de Mejía,Nochistlán de Mejía,Zacatecas
2416,Noria de Ángeles,Noria de Ángeles,Zacatecas
2417,Ojocaliente,Ojocaliente,Zacatecas
2418,Pánuco,Pánuco,Zacatecas
2419,Pinos,Pinos,Zacatecas
2420,Río Grande,Río Grande,Zacatecas
2421,Saín Alto,Saín Alto,Zacatecas
2422,El Salvador,El Salvador,Zacatecas
2423,Sombrerete,Sombrerete,Zacatecas
2424,Susticacán,Susticacán,Zacatecas
2425,Tabasco,Tabasco,Zacatecas
2426,Tepechitlán,Tepechitlán,Zacatecas
2427,Tepetongo,Tepetongo,Zacatecas
2428,Teúl de González Ortega,Teúl de González Ortega,Zacatecas
2429,Tlaltenango de Sánchez Román,Tlaltenango de Sánchez Román,Zacatecas
2430,Valparaíso,Valparaíso,Zacatecas
2431,Vetagrande,Vetagrande,Zacatecas
2432,Villa de Cos,Villa de Cos,Zacatecas
2433,Villa García,Villa García,Zacatecas
2434,Villa González Ortega,Villa González Ortega,Zacatecas
2435,Villa Hidalgo,Villa Hidalgo,Zacatecas
2436,Villanueva,Villanueva,Zacatecas
2437,Zacatecas,Zacatecas,Zacatecas
2438,Trancoso,Trancoso,Zacatecas
2439,Santa María de la Paz,Santa María de la Paz,Zacatecas
